name,address,phone_number
홍대네컷 이태원점,서울 용산구 이태원동,
홍대네컷 서산점,충청남도 서산시 호수공원5로 16,
홍대네컷 신탄진점,대전광역시 대덕구 신탄진로810번길 6,
홍대네컷 홍대2호점,서울특별시 마포구 홍익로3길 25,
홍대네컷 홍대3호점,서울특별시 마포구 홍익로3길 39,
홍대네컷 상수점,서울특별시 마포구 와우산로15길 29,
홍대네컷 서울랜드점,경기 과천시 막계동 54,
홍대네컷 행궁2호점,경기도 수원시 팔달구 행궁로 31-3,
홍대네컷 중동현대점,경기도 부천시 원미구 석천로177번길 11,
홍대네컷 동삭점,경기도 평택시 지제동삭2로 181-40,
홍대네컷 CGV 대전점,대전광역시 중구 계백로 1700,
